# time totalContactTime
905.6000 25158.3000
906.6000 25167.3000
907.6000 25176.3000
908.6000 25185.3000
909.6000 25194.3000
910.6000 25203.3000
911.6000 25212.3000
912.6000 25221.3000
913.6000 25230.3000
914.6000 25239.3000
915.6000 25248.3000
916.6000 25257.3000
917.6000 25266.3000
918.6000 25275.3000
919.6000 25284.3000
920.6000 25293.3000
921.6000 25302.3000
922.6000 25311.3000
923.6000 25320.3000
924.6000 25329.3000
925.6000 25338.3000
926.6000 25347.3000
927.6000 25356.3000
928.6000 25365.3000
929.6000 25374.3000
930.6000 25383.3000
931.6000 25392.3000
932.6000 25401.3000
933.6000 25410.3000
934.6000 25419.3000
935.6000 25428.3000
936.6000 25437.3000
937.6000 25446.3000
938.6000 25455.3000
939.6000 25464.3000
940.6000 25473.3000
941.6000 25482.3000
942.6000 25491.3000
943.6000 25500.3000
944.6000 25509.3000
945.6000 25518.3000
946.6000 25527.3000
947.6000 25536.3000
948.6000 25545.3000
949.6000 25554.3000
950.6000 25563.3000
951.6000 25572.3000
952.6000 25581.3000
953.6000 25590.3000
954.6000 25599.3000
955.6000 25608.3000
956.6000 25617.3000
957.6000 25626.3000
958.6000 25635.3000
959.6000 25644.3000
960.6000 25653.3000
961.6000 25662.3000
962.6000 25671.3000
963.6000 25680.3000
964.6000 25689.3000
965.6000 25698.3000
966.6000 25707.3000
967.6000 25716.3000
968.6000 25725.3000
969.6000 25734.3000
970.6000 25743.3000
971.6000 25752.3000
972.6000 25761.3000
973.6000 25770.3000
974.6000 25779.3000
975.6000 25788.3000
976.6000 25797.3000
977.6000 25806.3000
978.6000 25815.3000
979.6000 25824.3000
980.6000 25833.3000
981.6000 25842.3000
982.6000 25851.3000
983.6000 25860.3000
984.6000 25869.3000
985.6000 25878.3000
986.6000 25887.3000
987.6000 25896.3000
988.6000 25905.3000
989.6000 25914.3000
990.6000 25923.3000
991.6000 25932.3000
992.6000 25941.3000
993.6000 25950.3000
994.6000 25959.3000
995.6000 25968.3000
996.6000 25977.3000
997.6000 25986.3000
998.6000 25995.3000
999.6000 26004.3000
1000.6000 26013.3000
1001.6000 26022.3000
1002.6000 26031.3000
1003.6000 26040.3000
1004.6000 26049.3000
1005.6000 26058.3000
1006.6000 26067.3000
1007.6000 26076.3000
1008.6000 26085.3000
1009.6000 26094.3000
1010.6000 26103.3000
1011.6000 26112.3000
1012.6000 26121.3000
1013.6000 26130.3000
1014.6000 26139.3000
1015.6000 26148.3000
1016.6000 26157.3000
1017.6000 26166.3000
1018.6000 26175.3000
1019.6000 26184.3000
1020.6000 26193.3000
1021.6000 26202.3000
1022.6000 26211.3000
1023.6000 26220.3000
1024.7000 26230.2000
1025.8000 26240.1000
1026.9000 26250.0000
1028.0000 26259.9000
1029.1000 26269.8000
1030.2000 26279.7000
1031.3000 26289.6000
1032.4000 26299.5000
1033.5000 26309.4000
1034.6000 26319.3000
1035.7000 26329.2000
1036.8000 26339.1000
1037.9000 26349.0000
1039.0000 26358.9000
1040.1000 26368.8000
1041.2000 26378.7000
1042.3000 26388.6000
1043.4000 26398.5000
1044.5000 26408.4000
1045.6000 26418.3000
1046.7000 26428.2000
1047.8000 26438.1000
1048.9000 26448.0000
1050.0000 26457.9000
1051.1000 26467.8000
1052.2000 26477.7000
1053.3000 26487.6000
1054.4000 26497.5000
1055.5000 26507.4000
1056.6000 26517.3000
1057.7000 26527.2000
1058.8000 26537.1000
1059.9000 26547.0000
1061.0000 26556.9000
1062.1000 26566.8000
1063.2000 26576.7000
1064.3000 26586.6000
1065.4000 26596.5000
1066.5000 26606.4000
1067.6000 26616.3000
1068.7000 26626.2000
1069.8000 26636.1000
1070.9000 26646.0000
1072.0000 26655.9000
1073.1000 26665.8000
1074.2000 26675.7000
1075.3000 26685.6000
1076.4000 26695.5000
1077.5000 26705.4000
1078.6000 26715.3000
1079.7000 26725.2000
1080.8000 26735.1000
1081.9000 26745.0000
1083.0000 26754.9000
1084.1000 26764.8000
1085.2000 26774.7000
1086.3000 26784.6000
1087.4000 26794.5000
1088.5000 26804.4000
1089.6000 26814.3000
1090.7000 26824.2000
1091.8000 26834.1000
1092.9000 26844.0000
1094.0000 26853.9000
1095.1000 26863.8000
1096.2000 26873.7000
1097.3000 26883.6000
1098.4000 26893.5000
1099.5000 26903.4000
1100.6000 26913.3000
1101.7000 26922.0000
1102.8000 26928.6000
1103.9000 26935.2000
1105.0000 26941.8000
1106.1000 26948.4000
1107.2000 26955.0000
1108.3000 26961.6000
1109.4000 26968.2000
1110.5000 26974.8000
1111.6000 26981.4000
1112.7000 26988.0000
1113.8000 26994.6000
1114.9000 27001.2000
1116.0000 27007.8000
1117.1000 27014.4000
1118.2000 27021.0000
1119.3000 27027.6000
1120.4000 27034.2000
1121.5000 27040.8000
1122.6000 27047.4000
1123.7000 27054.0000
1124.8000 27060.6000
1125.9000 27067.2000
1127.0000 27073.8000
1128.1000 27080.4000
1129.2000 27087.0000
1130.3000 27093.6000
1131.4000 27100.2000
1132.5000 27106.8000
1133.6000 27113.4000
1134.7000 27120.0000
1135.8000 27126.6000
1136.9000 27133.2000
1138.0000 27139.8000
1139.1000 27146.4000
1140.2000 27153.0000
1141.3000 27159.6000
1142.4000 27166.2000
1143.5000 27172.8000
1144.6000 27179.4000
1145.7000 27186.0000
1146.8000 27192.6000
1147.9000 27199.2000
1149.0000 27205.8000
1150.1000 27212.4000
1151.2000 27219.0000
1152.3000 27225.6000
1153.4000 27232.2000
1154.5000 27238.8000
1155.6000 27245.4000
1156.7000 27252.0000
1157.8000 27258.6000
1158.9000 27265.2000
1160.0000 27271.8000
1161.1000 27278.4000
1162.2000 27285.0000
1163.3000 27291.6000
1164.4000 27298.2000
1165.5000 27304.8000
1166.6000 27311.4000
1167.7000 27318.0000
1168.8000 27324.6000
1169.9000 27331.2000
1171.0000 27337.8000
1172.1000 27344.4000
1173.2000 27351.0000
1174.3000 27357.6000
1175.4000 27364.2000
1176.5000 27370.8000
1177.6000 27377.4000
1178.7000 27384.0000
1179.8000 27390.6000
1180.9000 27397.2000
1182.0000 27403.8000
1183.1000 27410.4000
1184.2000 27417.0000
1185.3000 27423.6000
1186.4000 27430.2000
1187.5000 27436.8000
1188.6000 27443.4000
1189.7000 27450.0000
1190.8000 27456.6000
1191.9000 27463.2000
1193.0000 27469.8000
1194.1000 27476.4000
1195.2000 27483.0000
1196.3000 27489.6000
1197.4000 27496.2000
1198.5000 27502.8000
1199.6000 27509.4000
1200.7000 27516.0000
1201.8000 27522.6000
1202.9000 27529.2000
1204.0000 27535.8000
1205.1000 27542.4000
1206.2000 27549.0000
1207.3000 27555.6000
1208.4000 27562.2000
1209.5000 27568.8000
1210.6000 27575.4000
1211.7000 27582.0000
1212.8000 27588.6000
1213.9000 27595.2000
1215.0000 27601.8000
1216.1000 27608.4000
1217.2000 27615.0000
1218.3000 27621.6000
1219.4000 27628.2000
1220.5000 27634.8000
1221.6000 27641.4000
1222.7000 27648.0000
1223.8000 27654.6000
1224.9000 27661.2000
1226.0000 27667.8000
1227.1000 27674.4000
1228.2000 27681.0000
1229.3000 27687.6000
1230.4000 27694.2000
1231.5000 27700.8000
1232.6000 27707.4000
1233.7000 27714.0000
1234.8000 27720.6000
1235.9000 27727.2000
1237.0000 27733.8000
1238.1000 27740.4000
1239.2000 27747.0000
1240.3000 27753.6000
1241.4000 27760.2000
1242.5000 27766.8000
1243.6000 27773.4000
1244.7000 27780.0000
1245.8000 27786.6000
1246.9000 27793.2000
1248.0000 27799.8000
1249.1000 27806.4000
1250.2000 27813.0000
1251.3000 27819.6000
1252.4000 27826.2000
1253.5000 27832.8000
1254.6000 27839.4000
1255.7000 27846.0000
1256.8000 27852.6000
1257.9000 27859.2000
1259.0000 27865.8000
1260.1000 27872.4000
1261.2000 27879.0000
1262.3000 27885.6000
1263.4000 27892.2000
1264.5000 27898.8000
1265.6000 27905.4000
1266.7000 27912.0000
1267.8000 27918.6000
1268.9000 27925.2000
1270.0000 27931.8000
1271.1000 27938.4000
1272.2000 27945.0000
1273.3000 27951.6000
1274.4000 27958.2000
1275.5000 27964.8000
1276.6000 27971.4000
1277.7000 27978.0000
1278.8000 27984.6000
1279.9000 27991.2000
1281.0000 27997.8000
1282.1000 28004.4000
1283.2000 28011.0000
1284.3000 28017.6000
1285.4000 28024.2000
1286.5000 28030.8000
1287.6000 28037.4000
1288.7000 28044.0000
1289.8000 28050.6000
